SQUID,UNIT,Merged_UNITs,TOPELEVATION,BOTTOMELEVATION,RAWMAT,Material Type,Distance (km),DEBITAGE,DATACLASS,PRESERVATION,PATINATION,CORTEX,LOCATION OF CORTEX,CORTEX OF PREPARATION SURFACE,BURNT,SURFACE OF  FLAKE USED FOR FLAKING,NUMBER OF ACTIVE EDGES CORES,NUMBER OF PLATFORMS ON CORE,NUMBER OF SCARS FS,NUMBER OF SCARS PS,CORE LONGITUDINAL SECTION,CORE MORPHOLOGY,CORE TECHNOLOGY,CORE FLAKING METHODS,CORE TYPE,TYPE OF FLAKE CF,DOMINANT SCAR,LAST SCAR,ANGLE BETWEEN SP AND DS,FLAKE SP,TECHNOLOGY,PROFILE VENTRAL,PROFILE DORSAL,SECTION,FLAKE MORPHOLOGY,FLAKE TERMINATION,SYMMETRY,Parent Scar,NO DORSAL SCARS,SCAR PATTERN,STRIKING PLATFORM,LIP,RETOUCH,TOOL BLANK,STAGE OF RETOUCH,MODULE OF RETOUCH,TYPOLOGY A,RETOUCH LOCATION A,RETOUCH FACE A,RETOUCH TYPE A,ABRASION,SHAPE OF ACTIVE EDGE A,SECOND EVENT RETOUCH,TYPOLOGY B,RETOUCH LOCATION B,RETOUCH FACE B,RETOUCH TYPE B,SHAPE OF ACTIVE EDGE B,CORE LENGTH,CORE WIDTH,CORE THICKNESS,LENGTH OF DOMINANT SCAR,WIDTH OF DOMINANT SCAR,LENGTH OF LAST SCAR,WIDTH OF LAST SCAR,CORE CIRCUMFERENCE,TECHNOLOGICAL LENGTH,TECHNOLOGICAL WIDTH,MORPHOLOGICAL LENGTH,MORPHOLOGICAL WIDTH,THICKNESS,BREADTH OF STRIKING PLATFORM,DEPTH OF STRIKING PLATFORM,WEIGHT,IMAGE ACQUISITION 2D AND 3D,COMMENTS
K14-937/942-b,1.3,1,99.72,99.7,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Trapezoidal,Trapezoidal,Feather,A symetric to the right,Yes,6,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 3,,Proximal until ridge,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,4.01,6.41,8.04,5.39,1.17,4.94,1.56,,Photo+3d,Two ventrals
K14-937/942-c,1.3,1,99.72,99.7,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Straight,Rectangular,Feather,Symmetrical,Yes,3,Along axis,Plain,Lipped,Yes,Kombewa flake,Pre detachment,Module 1,,Proximal,Dorsal,Fine,No,,No,,,,,,,,,,,,,,2.27,6.46,7.42,2.53,1.6,4.92,1.36,,Photo high resolution,
K14-937/942-d,1.3,1,99.72,99.7,Obsidian,Obsidian,,Bladelet,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Triangular,Triangular,Rectangular,Feather,Symmetrical,,3,Along axis side,Plain,Lipped,Yes,Bladelet,Pre detachment,Module 1,,Proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,4.73,2.15,5.33,2.56,0.48,1.57,0.64,,Photo high resolution,
K14-1283/1288-a,3.1,3,99.29,99.27,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Trapezoidal,Oval,Feather,Symmetrical,,5,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 3,,Proximal until ridge,Dorsal,Flat,No,,No,,,,,,,,,,,,,,4.97,5.7,5.68,5.1,0.79,1.98,0.82,,Photo high resolution,Two ventrals
K14-1283/1288-c,3.1,3,99.29,99.27,Geghasar,Obsidian,40,Flake,Prox + lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Indeterminate,,,,,Feather,,,2,Indeterminate,,,No,,,,,,,,,,No,,,,,,,,,,,,,,,,3.8,3.16,0.26,,,,None,
K14-1704/1710,4.1,4,98.91,98.87,Geghasar,Obsidian,40,Flake,Lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,,,,,,,Yes,1,Along axis,Plain,Not lipped,No,,,Module 0,,,,,,,No,,,,,,,,,,,,,,,,17.45,8.93,1.14,4.17,2.33,,None,
K14-1304/1307,3.2,3,99.21,99.16,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Straight,Sub rectangular,Feather,Symmetrical,,1,Plain,Dihedral,Lipped,No,,,Module 0,,,,,,,No,,,,,,,,,,,,,,4.09,3.05,3.97,3.07,0.98,3.13,1.17,,Photo high resolution,
K14-1717/1728,4.1,4,98.85,98.82,Geghasar,Obsidian,40,Flake,Prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Indeterminate,,,,,Feather,,,1,Indeterminate,,,No,,,,,,,,,,No,,,,,,,,,,,,,,,,6.83,2.23,1.34,,,,None,
K14b-998/1000-a,0.2,0,99.89,99.89,Geghasar,Obsidian,40,Bladelet,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Triangular,Sub rectangular,Feather,Symmetrical,,2,Along axis,Faceted,Not lipped,Yes,Bladelet,Pre detachment,Module 1,,Proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,9.16,4.72,9.06,5.32,0.72,3.93,1.41,,None,
K14b-998/1000-b,0.2,0,99.89,99.89,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Convex,Convex,Triangular,Trapezoidal,Plunging,Symmetrical,,2,Along axis,Faceted,Lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,6.1,4.35,6.66,4.32,0.68,2.34,1.12,,None,
