SQUID,UNIT,Merged_UNITs,TOPELEVATION,BOTTOMELEVATION,RAWMAT,Material Type,Distance (km),DEBITAGE,DATACLASS,PRESERVATION,PATINATION,CORTEX,LOCATION OF CORTEX,CORTEX OF PREPARATION SURFACE,BURNT,SURFACE OF  FLAKE USED FOR FLAKING,NUMBER OF ACTIVE EDGES CORES,NUMBER OF PLATFORMS ON CORE,NUMBER OF SCARS FS,NUMBER OF SCARS PS,CORE LONGITUDINAL SECTION,CORE MORPHOLOGY,CORE TECHNOLOGY,CORE FLAKING METHODS,CORE TYPE,TYPE OF FLAKE CF,DOMINANT SCAR,LAST SCAR,ANGLE BETWEEN SP AND DS,FLAKE SP,TECHNOLOGY,PROFILE VENTRAL,PROFILE DORSAL,SECTION,FLAKE MORPHOLOGY,FLAKE TERMINATION,SYMMETRY,Parent Scar,NO DORSAL SCARS,SCAR PATTERN,STRIKING PLATFORM,LIP,RETOUCH,TOOL BLANK,STAGE OF RETOUCH,MODULE OF RETOUCH,TYPOLOGY A,RETOUCH LOCATION A,RETOUCH FACE A,RETOUCH TYPE A,ABRASION,SHAPE OF ACTIVE EDGE A,SECOND EVENT RETOUCH,TYPOLOGY B,RETOUCH LOCATION B,RETOUCH FACE B,RETOUCH TYPE B,SHAPE OF ACTIVE EDGE B,CORE LENGTH,CORE WIDTH,CORE THICKNESS,LENGTH OF DOMINANT SCAR,WIDTH OF DOMINANT SCAR,LENGTH OF LAST SCAR,WIDTH OF LAST SCAR,CORE CIRCUMFERENCE,TECHNOLOGICAL LENGTH,TECHNOLOGICAL WIDTH,MORPHOLOGICAL LENGTH,MORPHOLOGICAL WIDTH,THICKNESS,BREADTH OF STRIKING PLATFORM,DEPTH OF STRIKING PLATFORM,WEIGHT,IMAGE ACQUISITION 2D AND 3D,COMMENTS
L15-1046-a,0.2,0,99.99,99.95,Geghasar,Obsidian,40,Flake,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,,,,,,,,7,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Flat,No,,No,,,,,,,,,,,,,,,,7.27,6.46,0.56,,,0.01,None,
L15-1046-b,0.2,0,99.99,99.95,Geghasar,Obsidian,40,Flake,Fragment,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Indeterminate,,,,,,,,1,Indeterminate,,,No,,,,,,,,,,No,,,,,,,,,,,,,,,,7.87,3.07,1.91,,,0.01,None,
L15-1046-small,0.2,0,99.99,99.95,Obsidian,Obsidian,,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
L15-1046-small,0.2,0,99.99,99.95,Obsidian,Obsidian,,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
L15-1046-small,0.2,0,99.99,99.95,Obsidian,Obsidian,,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
L15-1046-small,0.2,0,99.99,99.95,Obsidian,Obsidian,,Flake<5mm,Fragment,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
L15-1309/1322-small,1.3,1,99.6,99.59,Obsidian,Obsidian,,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
L15-1309/1322-small,1.3,1,99.6,99.59,Obsidian,Obsidian,,Flake<5mm,Fragment,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
L15-1309/1322-a,1.3,1,99.6,99.59,Geghasar,Obsidian,40,Flake,Prox + lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,,,,,Retouched,,,12,Along axis side,,,Yes,Flake,Pre detachment,Module 4,,Distal left,Dorsal,Mixed,No,,No,,,,,,,,,,,,,,,,11.97,8.43,1.75,,,0.15,None,
L15-1309/1322-b,1.3,1,99.6,99.59,Geghasar,Obsidian,40,Flake,Dist,Fresh,Indeterminate,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,,,,,,,Yes,9,Side,Plain,Not lipped,Yes,Flake,Pre detachment,Module 4,,Distal right,Dorsal,Fine,No,,No,,,,,,,,,,,,,,,,6.12,5.66,0.66,1.5,0.42,0.01,Photo+3d,
L15-1309/1322-c,1.3,1,99.6,99.59,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Convex,Concave,Concave,Irregular,Feather,Symmetrical,,1,Along axis,Dihedral,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,3.94,3.21,7.88,4.53,1.12,2.14,0.73,0.01,None,
L15,1.3,1,99.75,99.73,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Polyhedral,Irregular,Feather,Symmetrical,,9,Along axis side,Faceted,Not lipped,Yes,Flake,Pre detachment,Module 3,,Proximal until ridge,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,13.65,11.18,15.68,12.2,1.92,6.48,1.78,0.26,None,
L15-1234/1244-a,1.3,1,99.73,99.73,Geghasar,Obsidian,40,Flake,Fragment,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Indeterminate,,,,,,,,1,Indeterminate,,,No,,,,,,,,,,No,,,,,,,,,,,,,,,,10.03,10.03,1.9,,,0.17,None,
L15-1466/1469-a,3.1,3,99.39,99.33,Geghasar,Obsidian,40,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,
L15-1466/1469-b,3.1,3,99.39,99.33,Geghasar,Obsidian,40,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,
L15-1466/1469-c,3.1,3,99.39,99.33,Geghasar,Obsidian,40,Flake<5mm,Fragment,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,
L15-1466/1469-small,3.1,3,99.39,99.33,Obsidian,Obsidian,,Flake<5mm,Prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,
L15-2065/2100-a,3.2,3,99.14,99.07,Geghasar,Obsidian,40,Flake<5mm,Prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,
L15-b-1430/1432-a,3.1,3,99.52,99.44,Geghasar,Obsidian,40,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,
L15-1413/1416-a,3.1,3,99.48,99.47,Geghasar-1,Obsidian,40,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,
L15-1985/1988-a,3.1,3,99.29,99.26,Geghasar,Obsidian,40,Flake,Prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Indeterminate,,,,,Feather,,,3,Along axis,,,No,,,,,,,,,,No,,,,,,,,,,,,,,,,8.2,3.92,0.93,,,0.01,None,
L15-1985/1988-b,3.1,3,99.29,99.26,Geghasar,Obsidian,40,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,None,
L15-1985/1988-small,3.1,3,99.29,99.26,Obsidian,Obsidian,,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,
L15-1985/1988-small,3.1,3,99.29,99.26,Obsidian,Obsidian,,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,
L15-1985/1988-small,3.1,3,99.29,99.26,Obsidian,Obsidian,,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,
L15-1985/1988-small,3.1,3,99.29,99.26,Obsidian,Obsidian,,Flake<5mm,Fragment,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,
L15-1985/1988-small,3.1,3,99.29,99.26,Obsidian,Obsidian,,Flake<5mm,Fragment,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
L15-1985/1988-small,3.1,3,99.29,99.26,Obsidian,Obsidian,,Flake<5mm,Fragment,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,
L15-1473/1485-a,3.1,3,99.34,99.32,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Trapezoidal,Leaf shaped,Feather,Symmetrical,,5,Along axis side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Regular,No,,No,,,,,,,,,,,,,,7.2,4.06,7.27,4.18,0.66,,,0.01,None,
L15-1164/1171-a,0.2,0,99.81,99.82,Geghasar,Obsidian,40,Flake,Prox + lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,,,,,Step,,,13,Along axis side,,,Yes,Flake,Pre detachment,Module 4,,Circumference,Dorsal,Mixed,No,,No,,,,,,,,,,,,,,,,12.31,7.73,1.29,,,0.12,None,
L15-1164/1171-b,0.2,0,99.81,99.82,Geghasar,Obsidian,40,Kombewa,Prox + lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Core on flake,,,,,Feather,,,4,Along axis side,,,No,,,,,,,,,,No,,,,,,,,,,,,,,,,8.39,4.45,0.46,,,0.01,None,
L15-1486/1490-a,3.1,3,99.32,99.31,Geghasar-1,Obsidian,40,Flake,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,,,,,,,Yes,5,Along axis side,Dihedral,Not lipped,Yes,Flake,Pre detachment,Module 3,,Proximal,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,,,12.72,10.94,2.25,5.3,1.78,0.3,None,
L15-1486/1490-b,3.1,3,99.32,99.31,Geghasar-1,Obsidian,40,Flake,Prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,,,,,Feather,,,12,Convergent,,,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Flat,No,,No,,,,,,,,,,,,,,,,13.55,9.07,0.43,,,0.01,None,
L15-1486/1490-c,3.1,3,99.32,99.31,Geghasar-1,Obsidian,40,Flake,Prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Indeterminate,,,,,Feather,,,4,Along axis side,,,No,,,,,,,,,,No,,,,,,,,,,,,,,,,7.45,7.47,0.91,,,0.01,None,
L15-1486/1490-d,3.1,3,99.32,99.31,Geghasar-1,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Irregular,Irregular,Feather,Symmetrical,Yes,2,Side,Plain,Not lipped,Yes,Kombewa flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,5.39,3.68,5.47,3.69,0.73,2.72,0.92,0.01,None,
L15-1433/1449-a,3.1,3,99.43,99.37,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Polyhedral,Sub rectangular,Feather,A symetric to the left,Yes,4,Along axis opposed,Plain,Lipped,Yes,Kombewa flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Flat,No,,No,,,,,,,,,,,,,,10.54,7.11,12.34,8.55,1.25,6.5,3.42,0.1,None,
L15-1433/1449-b,3.1,3,99.43,99.37,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Triangular,Trapezoidal,Hinge,Symmetrical,Yes,2,Along axis,Crushed,Not lipped,Yes,Kombewa flake,Pre detachment,Module 1,,Proximal,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,6.55,10.89,11.86,7.94,2.56,,,0.15,Photo high resolution,
L15-1409/1411-small,3.1,3,99.48,99.47,Obsidian,Obsidian,,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,
L15-1409/1411-small,3.1,3,99.48,99.47,Obsidian,Obsidian,,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,
L15-1409/1411-small,3.1,3,99.48,99.47,Obsidian,Obsidian,,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
L15-1409/1411-a,3.1,3,99.48,99.47,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Indeterminate,Straight,Straight,Triangular,Sub rectangular,Hinge,Symmetrical,,2,Along axis,Plain,Not lipped,No,,,,,,,,,,No,,,,,,,,,,,,,,5.96,5.32,6.85,5.99,2.47,4.06,2.17,0.08,None,
L15-1409/1411-b,3.1,3,99.48,99.47,Geghasar,Obsidian,40,Flake,Prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Indeterminate,,,,,Feather,,,4,Along axis side,,,No,,,,,,,,,,No,,,,,,,,,,,,,,,,6.76,3.53,0.58,,,0,None,
L15-1014/1018-a,0.1,0,100.02,100,Geghasar,Obsidian,40,Core,Fragment,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Indeterminate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,None,
L15-1014/1018,0.1,0,100.02,100,Geghasar,Obsidian,40,Bladelet,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Polyhedral,Leaf shaped,Feather,Symmetrical,,4,Along axis side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 2,,Circumference,Dorsal,Flat,No,,No,,,,,,,,,,,,,,8.82,4.14,8.79,4.13,0.4,,,0.01,None,
L15-1014/1018-c,0.1,0,100.02,100,Geghasar,Obsidian,40,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
L15-1285/1291-a,1.3,1,99.67,99.65,Geghasar,Obsidian,40,Flake,Fragment,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Indeterminate,,,,,,,,3,Indeterminate,,,No,,,,,,,,,,No,,,,,,,,,,,,,,,,8.47,9.74,9.88,,,0.3,None,
L15-1285/1291-b,1.3,1,99.67,99.65,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Triangular,Sub rectangular,Feather,Symmetrical,Yes,1,Along axis,Dihedral,Lipped,Yes,Kombewa flake,Pre detachment,Module 1,,Proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,6.22,3.97,6.41,4.05,0.69,3.65,1.78,0.01,Photo+3d,
L15-1285/1291-c,1.3,1,99.67,99.65,Geghasar,Obsidian,40,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,
L15-1454/1464-a,3.1,3,99.36,99.35,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Polyhedral,Irregular,Feather,Symmetrical,,15,Centripetal,Faceted,Lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Flat,No,,No,,,,,,,,,,,,,,15.13,10.35,15.29,11.27,1.15,3.87,1.49,0.15,Photo high resolution,
L15-1454/1464-b,0.2,0,99.36,99.95,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Convex,Concave,Straight,Oval,Feather,Symmetrical,,1,Along axis,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Isolated removals,No,,No,,,,,,,,,,,,,,2.69,5.06,5.65,3.38,1.03,3.75,0.6,0.01,None,
J11-1864/1876-c,3.6,3,98.57,98.56,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Polyhedral,Oval,Feather,Symmetrical,Yes,5,Along axis side,Faceted,Not lipped,Yes,Kombewa flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,8.56,5.79,8.41,6.04,1.38,3.27,0.8,0.05,None,
J11-1948,4,4,98.53,98.53,Geghasar,Obsidian,40,Flake,Prox + lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Indeterminate,,,,,Feather,,,1,Plain,,,No,,,,,,,,,,No,,,,,,,,,,,,,,,,13.09,9.61,4.04,,,0.26,None,
J11-1877/1919,3.6,3,98.56,98.55,Geghasar,Obsidian,40,Flake,Dist+prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Indeterminate,,,,,,,,2,Along axis,,,No,,,,,,,,,,No,,,,,,,,,,,,,,,,8.5,7.35,1.78,,,0.05,None,
J11-2057,4,4,98.46,98.46,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Indeterminate,Straight,Straight,Triangular,Sub rectangular,Hinge,Symmetrical,,6,Along axis opposed,Crushed,Not lipped,No,,,,,,,,,,No,,,,,,,,,,,,,,16.07,11.61,17.64,11.76,4.3,,,0.9,None,
J11-2103-b,4,4,98.44,98.44,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,100,,,No,,,,,,,,,,,,,,,,Indeterminate,Straight,Straight,Convex,Oval,Hinge,Symmetrical,,,,Crushed,Not lipped,No,,,,,,,,,,No,,,,,,,,,,,,,,9.56,7.74,9.38,7.86,3.71,,,0.31,None,
J11-2032/2102--a,4,4,98.47,98.45,Geghasar,Obsidian,40,Flake,Prox + lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Indeterminate,,,,,Feather,,,2,Along axis,,,No,,,,,,,,,,No,,,,,,,,,,,,,,,,10.86,4.66,1.43,,,0.01,None,
J11-2032/2102-b,4,4,98.47,98.45,Geghasar,Obsidian,40,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,
J11-2032/2102-c,4,4,98.47,98.45,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Polyhedral,Trapezoidal,Feather,Symmetrical,,3,Along axis side,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,4.09,3.62,6.07,5.56,0.56,1.2,0.63,0.01,None,
J11-2032/2102-d,4,4,98.47,98.47,Geghasar,Obsidian,40,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,
J11-2032/2102-d,4,4,98.47,98.45,Geghasar,Obsidian,40,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,
J11-2032/2102-e,4,4,98.47,98.45,Geghasar,Obsidian,40,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,
J11-2032/2102-f,4,4,98.47,98.45,Geghasar,Obsidian,40,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,
J11-2032/2102-g,4,4,98.47,98.45,Geghasar,Obsidian,40,Flake<5mm,Fragment,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
J11-1987/1998-c,4,4,98.51,98.5,Geghasar,Obsidian,40,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,
J11-2334,4,4,98.33,98.33,Geghasar,Obsidian,40,Kombewa,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Core on flake,Concave,Straight,Irregular,Irregular,Feather,Symmetrical,,10,Opposed side,Plain,Not lipped,No,,,,,,,,,,No,,,,,,,,,,,,,,17.61,24.89,25.61,19.41,9.44,9.79,8.04,3.52,None,
J11-1968/1986,4,4,98.53,98.51,Geghasar,Obsidian,40,Kombewa,Dist+prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Core on flake,,,,,,,,2,Along axis,,,No,,,,,,,,,,No,,,,,,,,,,,,,,,,12.06,6.5,1.84,,,0.07,None,
J11-1930,4,4,98.54,98.54,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Polyhedral,Irregular,Hinge,Symmetrical,,9,Along axis opposed,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 2,,Distal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,7.71,12.72,12.5,7.69,1.46,,,0.12,None,
J11-1877/1919-a,3.6,3,98.56,98.55,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Trapezoidal,Irregular,Feather,A symetric to the left,Yes,5,Centripetal,Dihedral,Not lipped,Yes,Kombewa flake,Pre detachment,Module 2,,Distal and proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,14.45,7.3,17.6,12.1,1.46,4.19,1.58,0.21,None,
J11-1877/1919-b,3.6,3,98.56,98.55,Geghasar,Obsidian,40,Flake,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Indeterminate,,,,,,,,2,Along axis,Plain,Not lipped,No,,,,,,,,,,No,,,,,,,,,,,,,,,,6.38,5,0.92,3.72,72,1.01,None,
J11-2333,4,4,98.44,98.44,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Triangular,Irregular,Feather,Symmetrical,Yes,4,Along axis opposed,Faceted,Lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,22.03,7.69,22.91,13.07,1.8,5.76,1.58,0.41,None,
J14-b-1472,3.2,3,99.1,99.1,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Polyhedral,Trapezoidal,Feather,Symmetrical,Yes,5,Along axis side,Plain,Not lipped,Yes,Kombewa flake,Pre detachment,Module 3,,Proximal until ridge,Dorsal,Flat,No,,No,,,,,,,,,,,,,,13.78,10.84,16.19,11.92,1.8,4.78,1.52,0.29,Photo+3d,
J14-1360,3.1,3,99.3,99.26,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Straight,Trapezoidal,Hinge,Symmetrical,Yes,2,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,6.42,7.46,9.69,6.3,0.58,,,0.01,Photo+3d,
J14-1360,3.1,3,99.3,99.26,Obsidian,Obsidian,,Flake<5mm,Prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,
J14-1360,3.1,3,99.3,99.26,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Triangular,Pointed,Feather,Symmetrical,,3,Convergent,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Flat,No,,No,,,,,,,,,,,,,,7.83,3.02,7.88,2.8,0.48,1.18,0.26,0,None,
J14-1239-a,3.1,3,99.4,99.38,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Twisted,Convex,Triangular,Leaf shaped,Feather,A symetric to the left,Yes,6,Side,Crushed,Not lipped,Yes,Kombewa flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,6.21,6.57,12.31,5.75,2.84,,,0.14,None,
J14-1239-c,3.1,3,99.4,99.38,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Polyhedral,Irregular,Feather,Symmetrical,,8,Along axis side,Plain,Not lipped,Yes,Flake,Pre detachment,Module 2,,Circumference,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,5.17,4.02,6.36,5.67,1.08,2.51,1.3,0.01,None,
J14-1239-small,3.1,3,99.4,99.38,Obsidian,Obsidian,,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
J14-1239-small,3.1,3,99.4,99.38,Obsidian,Obsidian,,Flake<5mm,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,
J14-b,3.2,3,98.99,98.99,Geghasar,Obsidian,40,Flake,Fragment,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Indeterminate,,,,,,,,1,Indeterminate,,,No,,,,,,,,,,No,,,,,,,,,,,,,,,,12.65,8.95,0.74,,,0.04,None,
